date,visitor,visit_pts,home,home_pts,night_out,result,pt_spread,,,,,,,,
11/22/17,Orlando,118,Minnesota,124,0,1,6,,,,,,,,
11/22/17,San Antonio,90,New Orleans,107,0,1,17,,,,,,,,
11/22/17,Toronto,100,New York,108,1,1,8,,,,,,,,
11/22/17,Golden State,91,Okla City,108,0,1,17,,,,,,,,
11/22/17,Portland,81,Philadelphia,101,0,1,20,,,,,,,,
11/22/17,Milwaukee,113,Phoenix,107,0,0,-6,,,,,,,,
11/22/17,LA Lakers,102,Sacramento,113,0,1,11,,,,,,,,
11/22/17,Chicago,80,Utah,110,0,1,30,,,,,,,,
11/24/17,New York,104,Atlanta,116,0,1,12,,,,,,,,
11/24/17,Orlando,103,Boston,118,0,1,15,,,,,,,,
11/24/17,Portland,127,Brooklyn,125,0,0,-2,,,,,,,,
11/24/17,Charlotte,99,Cleveland,100,0,1,1,,,,,,,,
11/24/17,Memphis,92,Denver,104,0,1,12,,,,,,,,
11/24/17,Chicago,94,Golden State,143,0,1,49,,,,,,,,
11/24/17,Toronto,104,Indiana,107,0,1,3,,,,,,,,
11/24/17,Miami,109,Minnesota,97,0,0,-12,,,,,,,,
11/24/17,Detroit,99,Okla City,98,0,0,-1,,,,,,,,
11/24/17,New Orleans,115,Phoenix,91,0,0,-24,,,,,,,,
11/25/17,Toronto,112,Atlanta,78,0,0,-34,,,,,,,,
11/25/17,San Antonio,106,Charlotte,86,0,0,-20,,,,,,,,
11/25/17,Okla City,81,Dallas,97,0,1,16,,,,,,,,
11/25/17,New Orleans,95,Golden State,110,0,1,15,,,,,,,,
11/25/17,New York,102,Houston,117,0,1,15,,,,,,,,
11/25/17,Boston,108,Indiana,98,0,0,-10,,,,,,,,
11/25/17,Orlando,111,Philadelphia,130,0,1,19,,,,,,,,
11/25/17,LA Clippers,97,Sacramento,95,0,0,-2,,,,,,,,
11/25/17,Milwaukee,108,Utah,121,0,1,13,,,,,,,,
11/25/17,Portland,108,Washington,105,0,0,-3,,,,,,,,
11/26/17,Miami,100,Chicago,93,0,0,-7,,,,,,,,
11/26/17,Brooklyn,98,Memphis,88,0,0,-10,,,,,,,,
11/26/17,Phoenix,108,Minnesota,119,0,1,11,,,,,,,,
11/27/17,Detroit,118,Boston,108,0,0,-10,,,,,,,,
11/27/17,Sacramento,110,Golden State,106,0,0,-4,,,,,,,,
11/27/17,Brooklyn,103,Houston,117,0,1,14,,,,,,,,
11/27/17,Orlando,109,Indiana,121,0,1,12,,,,,,,,
11/27/17,LA Lakers,115,LA Clippers,120,-1,1,5,,,,,,,,
11/27/17,Portland,103,New York,91,1,0,-12,,,,,,,,
11/27/17,Cleveland,113,Philadelphia,91,0,0,-22,,,,,,,,
11/27/17,Dallas,108,San Antonio,115,0,1,7,,,,,,,,
11/28/17,Phoenix,104,Chicago,99,0,0,-5,,,,,,,,
11/28/17,Miami,97,Cleveland,108,0,1,11,,,,,,,,
11/28/17,Washington,92,Minnesota,89,0,0,-3,,,,,,,,
11/28/17,Milwaukee,112,Sacramento,87,0,0,-25,,,,,,,,
11/28/17,Denver,77,Utah,106,0,1,29,,,,,,,,
11/29/17,Brooklyn,109,Dallas,104,0,0,-5,,,,,,,,
11/29/17,Phoenix,107,Detroit,131,0,1,24,,,,,,,,
11/29/17,Indiana,97,Houston,118,0,1,21,,,,,,,,
11/29/17,Golden State,127,LA Lakers,123,1,0,-4,,,,,,,,
11/29/17,Minnesota,120,New Orleans,102,0,0,-18,,,,,,,,
11/29/17,Miami,86,New York,115,-1,1,29,,,,,,,,
11/29/17,Okla City,108,Orlando,121,0,1,13,,,,,,,,
11/29/17,Washington,113,Philadelphia,118,0,1,5,,,,,,,,
11/29/17,Memphis,95,San Antonio,104,0,1,9,,,,,,,,
11/29/17,Charlotte,113,Toronto,126,0,1,13,,,,,,,,
11/30/17,Cleveland,121,Atlanta,114,0,0,-7,,,,,,,,
11/30/17,Philadelphia,97,Boston,108,0,1,11,,,,,,,,
11/30/17,Chicago,110,Denver,111,0,1,1,,,,,,,,
11/30/17,Utah,126,LA Clippers,107,1,0,-19,,,,,,,,
11/30/17,Milwaukee,103,Portland,91,0,0,-12,,,,,,,,
12/1/17,Sacramento,107,Chicago,106,0,0,-1,,,,,,,,
12/1/17,San Antonio,95,Memphis,79,0,0,-16,,,,,,,,
12/1/17,Charlotte,100,Miami,105,1,1,5,,,,,,,,
12/1/17,Minnesota,107,Okla City,111,0,1,4,,,,,,,,
12/1/17,Golden State,133,Orlando,112,0,0,-21,,,,,,,,
12/1/17,Indiana,115,Toronto,120,0,1,5,,,,,,,,
12/1/17,New Orleans,108,Utah,114,0,1,6,,,,,,,,
12/1/17,Detroit,91,Washington,109,0,1,18,,,,,,,,
12/2/17,Phoenix,111,Boston,116,0,1,5,,,,,,,,
12/2/17,Atlanta,114,Brooklyn,102,0,0,-12,,,,,,,,
12/2/17,Memphis,111,Cleveland,116,0,1,5,,,,,,,,
12/2/17,LA Clippers,82,Dallas,108,0,1,26,,,,,,,,
12/2/17,LA Lakers,100,Denver,115,0,1,15,,,,,,,,
12/2/17,Sacramento,104,Milwaukee,109,0,1,5,,,,,,,,
12/2/17,Detroit,103,Philadelphia,108,0,1,5,,,,,,,,
12/2/17,New Orleans,123,Portland,116,0,0,-7,,,,,,,,
12/3/17,Houston,118,LA Lakers,95,1,0,-23,,,,,,,,
12/3/17,Golden State,123,Miami,95,1,0,-28,,,,,,,,
12/3/17,LA Clippers,106,Minnesota,112,0,1,6,,,,,,,,
12/3/17,Orlando,105,New York,100,1,0,-5,,,,,,,,
12/3/17,San Antonio,87,Okla City,90,0,1,3,,,,,,,,
12/4/17,Brooklyn,110,Atlanta,90,0,0,-20,,,,,,,,
12/4/17,Milwaukee,100,Boston,111,0,1,11,,,,,,,,
12/4/17,Cleveland,113,Chicago,91,0,0,-22,,,,,,,,
12/4/17,Orlando,94,Charlotte,104,0,1,10,,,,,,,,
12/4/17,Denver,105,Dallas,122,0,1,17,,,,,,,,
12/4/17,New York,97,Indiana,115,0,1,18,,,,,,,,
12/4/17,Minnesota,92,Memphis,95,0,1,3,,,,,,,,
12/4/17,Golden State,125,New Orleans,115,0,0,-10,,,,,,,,
12/4/17,Phoenix,115,Philadelphia,101,0,0,-14,,,,,,,,
12/4/17,Detroit,93,San Antonio,96,0,1,3,,,,,,,,
12/4/17,Washington,69,Utah,116,0,1,47,,,,,,,,
12/5/17,Utah,94,Okla City,100,0,1,6,,,,,,,,
12/5/17,Washington,106,Portland,92,0,0,-14,,,,,,,,
12/5/17,Phoenix,113,Toronto,126,0,1,13,,,,,,,,
12/6/17,Dallas,90,Boston,97,0,1,7,,,,,,,,
12/6/17,Golden State,101,Charlotte,87,0,0,-14,,,,,,,,
12/6/17,Sacramento,95,Cleveland,101,0,1,6,,,,,,,,
12/6/17,Chicago,96,Indiana,98,0,1,2,,,,,,,,
12/6/17,Minnesota,113,LA Clippers,107,1,0,-6,,,,,,,,
12/6/17,Detroit,100,Milwaukee,104,0,1,4,,,,,,,,
12/6/17,Denver,114,New Orleans,123,0,1,9,,,,,,,,
12/6/17,Memphis,88,New York,99,1,1,11,,,,,,,,
12/6/17,Atlanta,106,Orlando,110,0,1,4,,,,,,,,
12/6/17,Miami,105,San Antonio,117,0,1,12,,,,,,,,
12/7/17,Okla City,95,Brooklyn,100,0,1,5,,,,,,,,
12/7/17,LA Lakers,107,Philadelphia,104,0,0,-3,,,,,,,,
12/7/17,Washington,109,Phoenix,99,0,0,-10,,,,,,,,
12/7/17,Houston,112,Utah,101,0,0,-11,,,,,,,,
12/8/17,Chicago,119,Charlotte,111,0,0,-8,,,,,,,,
12/8/17,Golden State,102,Detroit,98,0,0,-4,,,,,,,,
12/8/17,Cleveland,102,Indiana,106,0,1,4,,,,,,,,
12/8/17,Toronto,116,Memphis,107,0,0,-9,,,,,,,,
12/8/17,Dallas,102,Milwaukee,109,0,1,7,,,,,,,,
12/8/17,Sacramento,116,New Orleans,109,0,0,-7,,,,,,,,
12/8/17,Denver,103,Orlando,89,0,0,-14,,,,,,,,
12/8/17,Boston,102,San Antonio,105,0,1,3,,,,,,,,
12/9/17,Orlando,110,Atlanta,117,0,1,7,,,,,,,,
12/9/17,Miami,101,Brooklyn,89,0,0,-12,,,,,,,,
12/9/17,New York,102,Chicago,104,0,1,2,,,,,,,,
12/9/17,LA Lakers,110,Charlotte,99,0,0,-11,,,,,,,,
12/9/17,Philadelphia,98,Cleveland,105,0,1,7,,,,,,,,
12/9/17,Washington,112,LA Clippers,113,1,1,1,,,,,,,,
12/9/17,Okla City,102,Memphis,101,0,0,-1,,,,,,,,
12/9/17,Utah,100,Milwaukee,117,0,1,17,,,,,,,,
12/9/17,San Antonio,104,Phoenix,101,0,0,-3,,,,,,,,
12/9/17,Houston,124,Portland,117,0,0,-7,,,,,,,,
12/10/17,Boston,91,Detroit,81,0,0,-10,,,,,,,,
12/10/17,Denver,116,Indiana,126,0,1,10,,,,,,,,
12/10/17,Dallas,92,Minnesota,97,0,1,5,,,,,,,,
12/10/17,Philadelphia,124,New Orleans,131,0,1,7,,,,,,,,
12/10/17,Atlanta,107,New York,111,1,1,4,,,,,,,,
12/10/17,Toronto,102,Sacramento,87,0,0,-15,,,,,,,,
12/11/17,Boston,85,Chicago,108,0,1,23,,,,,,,,
12/11/17,Portland,104,Golden State,111,0,1,7,,,,,,,,
12/11/17,New Orleans,123,Houston,130,0,1,7,,,,,,,,
12/11/17,Toronto,91,LA Clippers,96,1,1,5,,,,,,,,
12/11/17,Miami,107,Memphis,82,0,0,-25,,,,,,,,
12/11/17,Charlotte,116,Okla City,103,0,0,-13,,,,,,,,
12/12/17,Washington,98,Brooklyn,103,0,1,5,,,,,,,,
12/12/17,Atlanta,114,Cleveland,123,0,1,9,,,,,,,,
12/12/17,San Antonio,89,Dallas,95,0,1,6,,,,,,,,
12/12/17,Denver,103,Detroit,84,0,0,-19,,,,,,,,
12/12/17,Philadelphia,118,Minnesota,112,0,0,-6,,,,,,,,
12/12/17,LA Lakers,109,New York,113,-1,1,4,,,,,,,,
12/12/17,Phoenix,92,Sacramento,99,0,1,7,,,,,,,,
12/13/17,Denver,118,Boston,124,0,1,6,,,,,,,,
12/13/17,Utah,100,Chicago,103,0,1,3,,,,,,,,
12/13/17,Charlotte,96,Houston,108,0,1,12,,,,,,,,
12/13/17,Okla City,100,Indiana,95,0,0,-5,,,,,,,,
12/13/17,Portland,102,Miami,95,1,0,-7,,,,,,,,
12/13/17,Milwaukee,108,New Orleans,115,0,1,7,,,,,,,,
12/13/17,LA Clippers,106,Orlando,95,0,0,-11,,,,,,,,
12/13/17,Toronto,115,Phoenix,109,0,0,-6,,,,,,,,
12/13/17,Memphis,87,Washington,93,0,1,6,,,,,,,,
12/14/17,Detroit,105,Atlanta,91,0,0,-14,,,,,,,,
12/14/17,New York,111,Brooklyn,104,0,0,-7,,,,,,,,
12/14/17,LA Lakers,112,Cleveland,121,0,1,9,,,,,,,,
12/14/17,Dallas,97,Golden State,112,0,1,15,,,,,,,,
12/14/17,Sacramento,96,Minnesota,119,0,1,23,,,,,,,,
12/15/17,Utah,107,Boston,95,0,0,-12,,,,,,,,
12/15/17,Miami,104,Charlotte,98,0,0,-6,,,,,,,,
12/15/17,New Orleans,111,Denver,117,0,1,6,,,,,,,,
12/15/17,San Antonio,109,Houston,124,0,1,15,,,,,,,,
12/15/17,Detroit,104,Indiana,98,0,0,-6,,,,,,,,
12/15/17,Atlanta,94,Memphis,96,0,1,2,,,,,,,,
12/15/17,Chicago,115,Milwaukee,109,0,0,-6,,,,,,,,
12/15/17,Portland,95,Orlando,88,0,0,-7,,,,,,,,
12/15/17,Okla City,119,Philadelphia,117,0,0,-2,,,,,,,,
12/15/17,Brooklyn,87,Toronto,120,0,1,33,,,,,,,,
12/15/17,LA Clippers,91,Washington,100,0,1,9,,,,,,,,
12/16/17,Portland,93,Charlotte,91,0,0,-2,,,,,,,,
12/16/17,Utah,100,Cleveland,109,0,1,9,,,,,,,,
12/16/17,Milwaukee,111,Houston,115,0,1,4,,,,,,,,
12/16/17,Boston,102,Memphis,93,0,0,-9,,,,,,,,
12/16/17,LA Clippers,85,Miami,90,-1,1,5,,,,,,,,
12/16/17,Phoenix,108,Minnesota,106,0,0,-2,,,,,,,,
12/16/17,Okla City,96,New York,111,1,1,15,,,,,,,,
12/16/17,Dallas,96,San Antonio,98,0,1,2,,,,,,,,
12/17/17,Indiana,109,Brooklyn,97,0,0,-12,,,,,,,,
12/17/17,Orlando,110,Detroit,114,0,1,4,,,,,,,,
12/17/17,Sacramento,93,Toronto,108,0,1,15,,,,,,,,
12/17/17,Cleveland,106,Washington,99,0,0,-7,,,,,,,,
12/18/17,Miami,104,Atlanta,110,0,1,6,,,,,,,,
12/18/17,Philadelphia,115,Chicago,117,0,1,2,,,,,,,,
12/18/17,New York,91,Charlotte,109,0,1,18,,,,,,,,
12/18/17,Phoenix,97,Dallas,91,0,0,-6,,,,,,,,
12/18/17,Utah,99,Houston,120,0,1,21,,,,,,,,
12/18/17,Boston,112,Indiana,111,0,0,-1,,,,,,,,
12/18/17,Golden State,116,LA Lakers,114,1,0,-2,,,,,,,,
12/18/17,Portland,107,Minnesota,108,0,1,1,,,,,,,,
12/18/17,Denver,94,Okla City,95,0,1,1,,,,,,,,
12/18/17,LA Clippers,91,San Antonio,109,0,1,18,,,,,,,,
12/19/17,Cleveland,116,Milwaukee,119,0,1,3,,,,,,,,
12/19/17,Sacramento,101,Philadelphia,95,0,0,-6,,,,,,,,
12/19/17,New Orleans,106,Washington,116,0,1,10,,,,,,,,
12/20/17,Indiana,105,Atlanta,95,0,0,-10,,,,,,,,
12/20/17,Miami,90,Boston,89,0,0,-1,,,,,,,,
12/20/17,Sacramento,104,Brooklyn,99,0,0,-5,,,,,,,,
12/20/17,Orlando,94,Chicago,112,0,1,18,,,,,,,,
12/20/17,Toronto,129,Charlotte,111,0,0,-18,,,,,,,,
12/20/17,Detroit,93,Dallas,110,0,1,17,,,,,,,,
12/20/17,Minnesota,112,Denver,104,0,0,-8,,,,,,,,
12/20/17,Memphis,84,Golden State,97,0,1,13,,,,,,,,
